any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id,pct_ue,pct_mon,indicador_socio,indicador_housing,indicador_demo,indicador_turisme,indicador_global_pca,indicador_gentrificacio,cluster,cluster_label,pc1,pc2,creixement,categoria_gentrificacio
2023,Barri,el turo de la peira,,-0.0784489308257451,16295,12209.0,0.0,331.0,3751.0,2379.0,4216.0,3594.0,3835.0,6970.0,-0.1619279757247857,-0.6658356323571941,-0.3637783568553107,23,-0.5308920023195228,1.4632918025383432,-0.4138818040409899,-0.0784489308257451,0.4661999001094102,-0.3637783568553107,0.1705277278792764,-0.1272149118092005,0,Intermedi,-0.5684120397584216,-0.7155197682176906,0.1981121308923561,Desgentrificació
2024,Barri,el turo de la peira,,0.0889654952341257,16820,12462.0,0.0,367.0,3987.0,,,,,7350.0,-0.2428670166225183,-0.7612262552133505,-0.3637783568553107,23,-0.4885175093256003,1.5533105858609424,-0.5020466359179344,0.0889654952341257,0.5323965382676711,-0.3637783568553107,0.2936828541565395,-0.0902007059226705,0,Intermedi,-0.4275985365150652,-0.8466397362310899,0.1981121308923561,Desgentrificació
2025,Barri,el turo de la peira,,0.0554826100221515,17456,12679.0,5.0,427.0,4345.0,,,,,7190.0,-0.2914304411611579,-0.8089215666414288,,23,-0.414186475204239,1.709422493292763,-0.5501760039012933,0.0554826100221515,0.647618009044262,1.0092936587501425e-17,0.4705321940678496,-0.01888441635489,0,Intermedi,-0.138403380309616,-1.2293456725134653,0.1981121308923561,Desgentrificació
2000,Barri,horta,,,26293,26028.0,0.0,67.0,197.0,,,,,,,,,24,-1.0306474040186269,-1.4650557604061247,0.0033723453127869,3.6921966638804284e-16,-1.247851582212376,1.0092936587501425e-17,-1.0064999678324853,-0.2485586128486389,0,Intermedi,-0.8714462823440277,0.8944919009137385,0.4711574385783355,Estable
2001,Barri,horta,,,26278,25751.0,0.0,73.0,453.0,0.0,0.0,0.0,0.0,,,,,24,-1.024183205444415,-1.3368997211302556,0.0033723453127869,3.6921966638804284e-16,-1.1805414632873354,1.0092936587501425e-17,-0.9522085492867468,-0.2350965890636309,0,Intermedi,-0.8244397683182454,0.8462422876694752,0.4711574385783355,Estable
2002,Barri,horta,,,26630,25714.0,19.0,118.0,779.0,,,,,,,,,24,-0.9776783923566136,-1.1789251232142828,0.0033723453127869,3.6921966638804284e-16,-1.078301757785448,1.0092936587501425e-17,-0.869743405382046,-0.2146486479632534,0,Intermedi,-0.753039921944204,0.7729542541990977,0.4711574385783355,Estable
2003,Barri,horta,,,26731,25511.0,18.0,155.0,1047.0,,,,,,,,,24,-0.9392104246951464,-1.0485466205620873,0.0033723453127869,3.6921966638804284e-16,-0.9938785226286168,1.0092936587501425e-17,-0.8016487820463011,-0.1977640009318871,0,Intermedi,-0.6940823379898367,0.7124375219424973,0.4711574385783355,Estable
2004,Barri,horta,,,26684,25201.0,0.0,211.0,1271.0,,,,,,,,,24,-0.8798846590832906,-0.9372575648085129,0.0033723453127869,3.6921966638804284e-16,-0.9085711119459016,1.0092936587501425e-17,-0.7328409948607476,-0.1807025187953441,0,Intermedi,-0.6345072835878982,0.6512869900752997,0.4711574385783355,Estable
2005,Barri,horta,,,26641,24819.0,0.0,241.0,1580.0,,,,,,,,,24,-0.8478468261775809,-0.7837329877770254,0.0033723453127869,3.6921966638804284e-16,-0.8157899069773031,1.0092936587501425e-17,-0.6580049477318188,-0.1621462778016244,0,Intermedi,-0.5697128502643978,0.5847790514835256,0.4711574385783355,Estable
2006,Barri,horta,,,26526,24534.0,0.0,283.0,1706.0,,,,,,,,,24,-0.8022009544163314,-0.7178924241625856,0.0033723453127869,3.6921966638804284e-16,-0.7600466892894585,1.0092936587501425e-17,-0.6130432330459884,-0.1509976342640555,0,Intermedi,-0.5307841663468431,0.5448208886191199,0.4711574385783355,Estable
2007,Barri,horta,,,26363,24326.0,0.0,399.0,1637.0,,,,,,,,,24,-0.6765622657038509,-0.7470792160605946,0.0033723453127869,3.6921966638804284e-16,-0.7118207408822228,1.0092936587501425e-17,-0.5741448446378766,-0.1413524445826083,0,Intermedi,-0.4971052224315017,0.5102512964664416,0.4711574385783355,Estable
