any,tipus_de_territori,territori,renda,preu_lloguer,poblacio_total,Espanya,No consta,Resta de la Unió Europea,Resta del món,Educació primària o inferior,Educació superior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,atur,num_contractes,superficie_mitja,hut,territori_id
2015,Barri,el barri gotic,75.9616290787678,112.0,15514,9007.0,6.0,3079.0,3422.0,,,,,1197.0,6840.0,79.5,184.0,7
2016,Barri,el barri gotic,75.6895562125897,130.0,15729,8925.0,8.0,3208.0,3588.0,,,,,1051.0,7850.0,76.5,188.0,7
2017,Barri,el barri gotic,77.6892724948453,142.0,16240,8726.0,9.0,3392.0,4113.0,,,,,9490.0,8080.0,77.6,188.0,7
2018,Barri,el barri gotic,78.1286066553716,138.0,17035,8501.0,7.0,3377.0,5150.0,,,,,9240.0,9670.0,81.2,194.0,7
2019,Barri,el barri gotic,78.59041741061,143.0,19180,8387.0,9.0,3846.0,6938.0,,,,,8980.0,8900.0,83.2,192.0,7
2020,Barri,el barri gotic,77.2796023729295,136.0,21715,8270.0,13.0,3891.0,9541.0,,,,,9180.0,7300.0,82.3,193.0,7
2021,Barri,el barri gotic,79.0597502715795,126.0,22850,8257.0,12.0,3436.0,11145.0,4506.0,7788.0,3534.0,4041.0,144.0,105.0,83.4,193.0,7
2022,Barri,el barri gotic,,156.0,22748,8243.0,6.0,3505.0,10994.0,4082.0,7793.0,3813.0,4150.0,8380.0,8820.0,81.4,194.0,7
2023,Barri,el barri gotic,,164.0,24460,8385.0,10.0,3281.0,12784.0,4772.0,8596.0,4364.0,4820.0,8670.0,6140.0,85.5,2010.0,7
2024,Barri,el barri gotic,,162.0,27222,8612.0,8.0,3402.0,15200.0,,,,,9890.0,4490.0,80.9,2170.0,7
2025,Barri,el barri gotic,,165.0,27878,8903.0,8.0,3415.0,15552.0,,,,,9520.0,5440.0,79.3,,7
2000,Barri,el besos i el maresme,,,21207,20954.0,0.0,29.0,224.0,,,,,,,,,8
2001,Barri,el besos i el maresme,,,21036,20535.0,0.0,34.0,465.0,0.0,0.0,0.0,0.0,,,,,8
2002,Barri,el besos i el maresme,,,21264,20264.0,6.0,41.0,953.0,,,,,,,,,8
2003,Barri,el besos i el maresme,,,21623,19726.0,5.0,58.0,1834.0,,,,,,,,,8
2004,Barri,el besos i el maresme,,,21805,19183.0,0.0,88.0,2531.0,,,,,,,,,8
2005,Barri,el besos i el maresme,,,22067,18681.0,10.0,124.0,3252.0,,,,,,,,,8
2006,Barri,el besos i el maresme,,,22403,18212.0,12.0,163.0,4016.0,,,,,,,,,8
2007,Barri,el besos i el maresme,,,22033,17640.0,9.0,403.0,3981.0,,,,,,,,,8
2008,Barri,el besos i el maresme,,,23319,17427.0,0.0,597.0,5293.0,,,,,,,,,8
2009,Barri,el besos i el maresme,,,24018,17350.0,0.0,637.0,6029.0,,,,,,,,,8
2010,Barri,el besos i el maresme,,,23798,17290.0,0.0,597.0,5908.0,,,,,,,,,8
2011,Barri,el besos i el maresme,,,23976,17313.0,0.0,606.0,6055.0,0.0,0.0,0.0,0.0,208.0,,,,8
2012,Barri,el besos i el maresme,,,23720,17269.0,0.0,596.0,5851.0,,,,,2188.0,,,,8
2013,Barri,el besos i el maresme,,,23143,17117.0,0.0,640.0,5385.0,,,,,2327.0,,,,8
2014,Barri,el besos i el maresme,,77.0,22840,17048.0,0.0,627.0,5165.0,,,,,2263.0,3470.0,62.3,30.0,8
2015,Barri,el besos i el maresme,62.3212333026008,84.0,22844,17336.0,0.0,592.0,4916.0,,,,,2153.0,2730.0,62.3,30.0,8
2016,Barri,el besos i el maresme,60.6065239305645,88.0,22783,17214.0,0.0,583.0,4985.0,,,,,1834.0,2510.0,62.6,32.0,8
2017,Barri,el besos i el maresme,60.4164111794372,100.0,23063,17068.0,0.0,687.0,5308.0,,,,,1612.0,3540.0,62.4,32.0,8
2018,Barri,el besos i el maresme,60.2924799015343,109.0,23721,17073.0,0.0,797.0,5848.0,,,,,1531.0,4180.0,64.5,32.0,8
2019,Barri,el besos i el maresme,59.0644186104994,113.0,24847,17002.0,0.0,965.0,6878.0,,,,,1429.0,4250.0,64.4,32.0,8
