territori,tipus_de_territori,any,atur
hostafrancs,Barri,2012,1113.0
la bordeta,Barri,2012,1305.0
sants badal,Barri,2012,1421.0
sants,Barri,2012,2684.0
les corts,Barri,2012,2738.0
la maternitat i sant ramon,Barri,2012,1404.0
pedralbes,Barri,2012,3450.0
vallvidrera el tibidabo i les planes,Barri,2012,1300.0
sarria,Barri,2012,7230.0
les tres torres,Barri,2012,5050.0
sant gervasi la bonanova,Barri,2012,9070.0
sant gervasi galvany,Barri,2012,1789.0
el putxet i el farro,Barri,2012,1582.0
vallcarca i els penitents,Barri,2012,9890.0
el coll,Barri,2012,4180.0
la salut,Barri,2012,8370.0
la vila de gracia,Barri,2012,3401.0
el camp den grassot i gracia nova,Barri,2012,2148.0
el baix guinardo,Barri,2012,164.0
can baro,Barri,2012,5990.0
el guinardo,Barri,2012,2474.0
la font den fargues,Barri,2012,7580.0
el carmel,Barri,2012,2587.0
la teixonera,Barri,2012,7710.0
sant genis dels agudells,Barri,2012,4630.0
montbau,Barri,2012,3350.0
la vall dhebron,Barri,2012,3570.0
la clota,Barri,2012,250.0
horta,Barri,2012,2088.0
vilapicina i la torre llobeta,Barri,2012,1897.0
porta,Barri,2012,1826.0
el turo de la peira,Barri,2012,1182.0
can peguera,Barri,2012,1670.0
la guineueta,Barri,2012,1376.0
canyelles,Barri,2012,6710.0
les roquetes,Barri,2012,1455.0
verdun,Barri,2012,1116.0
la prosperitat,Barri,2012,2051.0
la trinitat nova,Barri,2012,9290.0
torre baro,Barri,2012,2550.0
ciutat meridiana,Barri,2012,1334.0
vallbona,Barri,2012,1550.0
la trinitat vella,Barri,2012,1237.0
baro de viver,Barri,2012,1830.0
el bon pastor,Barri,2012,1037.0
sant andreu,Barri,2012,4201.0
la sagrera,Barri,2012,1984.0
el congres i els indians,Barri,2012,9650.0
navas,Barri,2012,1486.0
el camp de larpa del clot,Barri,2012,2895.0
el clot,Barri,2012,1887.0
el parc i la llacuna del poblenou,Barri,2012,8890.0
la vila olimpica del poblenou,Barri,2012,6150.0
el poblenou,Barri,2012,2102.0
diagonal mar i el front maritim del poblenou,Barri,2012,9560.0
el besos i el maresme,Barri,2012,2188.0
provencals del poblenou,Barri,2012,1477.0
sant marti de provencals,Barri,2012,2096.0
la verneda i la pau,Barri,2012,2377.0
no consta,Barri,2012,50.0
el raval,Barri,2013,4802.0
el barri gotic,Barri,2013,1357.0
la barceloneta,Barri,2013,1506.0
sant pere santa caterina i la ribera,Barri,2013,209.0
el fort pienc,Barri,2013,2039.0
la sagrada familia,Barri,2013,33.0
la dreta de leixample,Barri,2013,2209.0
lantiga esquerra de leixample,Barri,2013,2567.0
la nova esquerra de leixample,Barri,2013,3532.0
sant antoni,Barri,2013,2594.0
el poble sec,Barri,2013,3622.0
la marina del prat vermell,Barri,2013,1470.0
la marina de port,Barri,2013,2437.0
la font de la guatlla,Barri,2013,9060.0
hostafrancs,Barri,2013,1096.0
la bordeta,Barri,2013,1285.0
sants badal,Barri,2013,1425.0
sants,Barri,2013,2667.0
les corts,Barri,2013,2749.0
la maternitat i sant ramon,Barri,2013,1409.0
pedralbes,Barri,2013,3420.0
vallvidrera el tibidabo i les planes,Barri,2013,1360.0
sarria,Barri,2013,7280.0
les tres torres,Barri,2013,5290.0
sant gervasi la bonanova,Barri,2013,8790.0
sant gervasi galvany,Barri,2013,1798.0
el putxet i el farro,Barri,2013,1564.0
vallcarca i els penitents,Barri,2013,9920.0
el coll,Barri,2013,4190.0
la salut,Barri,2013,8340.0
la vila de gracia,Barri,2013,3368.0
el camp den grassot i gracia nova,Barri,2013,2136.0
el baix guinardo,Barri,2013,1637.0
can baro,Barri,2013,5970.0
el guinardo,Barri,2013,2526.0
la font den fargues,Barri,2013,7860.0
el carmel,Barri,2013,2683.0
la teixonera,Barri,2013,7830.0
sant genis dels agudells,Barri,2013,4680.0
montbau,Barri,2013,3380.0
la vall dhebron,Barri,2013,3610.0
la clota,Barri,2013,250.0
horta,Barri,2013,2158.0
vilapicina i la torre llobeta,Barri,2013,199.0
porta,Barri,2013,1973.0
