territori,tipus_de_territori,any,preu_lloguer
vilapicina i la torre llobeta,Barri,2010,
porta,Barri,2010,
el turo de la peira,Barri,2010,
can peguera,Barri,2010,
la guineueta,Barri,2010,
canyelles,Barri,2010,
les roquetes,Barri,2010,
verdun,Barri,2010,
la prosperitat,Barri,2010,
la trinitat nova,Barri,2010,
torre baro,Barri,2010,
ciutat meridiana,Barri,2010,
vallbona,Barri,2010,
la trinitat vella,Barri,2010,
baro de viver,Barri,2010,
el bon pastor,Barri,2010,
sant andreu,Barri,2010,
la sagrera,Barri,2010,
el congres i els indians,Barri,2010,
navas,Barri,2010,
el camp de larpa del clot,Barri,2010,
el clot,Barri,2010,
el parc i la llacuna del poblenou,Barri,2010,
la vila olimpica del poblenou,Barri,2010,
el poblenou,Barri,2010,
diagonal mar i el front maritim del poblenou,Barri,2010,
el besos i el maresme,Barri,2010,
provencals del poblenou,Barri,2010,
sant marti de provencals,Barri,2010,
la verneda i la pau,Barri,2010,
el raval,Barri,2011,
el barri gotic,Barri,2011,
la barceloneta,Barri,2011,
sant pere santa caterina i la ribera,Barri,2011,
el fort pienc,Barri,2011,
la sagrada familia,Barri,2011,
la dreta de leixample,Barri,2011,
lantiga esquerra de leixample,Barri,2011,
la nova esquerra de leixample,Barri,2011,
sant antoni,Barri,2011,
el poble sec,Barri,2011,
la marina del prat vermell,Barri,2011,
la marina de port,Barri,2011,
la font de la guatlla,Barri,2011,
hostafrancs,Barri,2011,
la bordeta,Barri,2011,
sants badal,Barri,2011,
sants,Barri,2011,
les corts,Barri,2011,
la maternitat i sant ramon,Barri,2011,
pedralbes,Barri,2011,
vallvidrera el tibidabo i les planes,Barri,2011,
sarria,Barri,2011,
les tres torres,Barri,2011,
sant gervasi la bonanova,Barri,2011,
sant gervasi galvany,Barri,2011,
el putxet i el farro,Barri,2011,
vallcarca i els penitents,Barri,2011,
el coll,Barri,2011,
la salut,Barri,2011,
la vila de gracia,Barri,2011,
el camp den grassot i gracia nova,Barri,2011,
el baix guinardo,Barri,2011,
can baro,Barri,2011,
el guinardo,Barri,2011,
la font den fargues,Barri,2011,
el carmel,Barri,2011,
la teixonera,Barri,2011,
sant genis dels agudells,Barri,2011,
montbau,Barri,2011,
la vall dhebron,Barri,2011,
la clota,Barri,2011,
horta,Barri,2011,
vilapicina i la torre llobeta,Barri,2011,
porta,Barri,2011,
el turo de la peira,Barri,2011,
can peguera,Barri,2011,
la guineueta,Barri,2011,
canyelles,Barri,2011,
les roquetes,Barri,2011,
verdun,Barri,2011,
la prosperitat,Barri,2011,
la trinitat nova,Barri,2011,
torre baro,Barri,2011,
ciutat meridiana,Barri,2011,
vallbona,Barri,2011,
la trinitat vella,Barri,2011,
baro de viver,Barri,2011,
el bon pastor,Barri,2011,
sant andreu,Barri,2011,
la sagrera,Barri,2011,
el congres i els indians,Barri,2011,
navas,Barri,2011,
el camp de larpa del clot,Barri,2011,
el clot,Barri,2011,
el parc i la llacuna del poblenou,Barri,2011,
la vila olimpica del poblenou,Barri,2011,
el poblenou,Barri,2011,
diagonal mar i el front maritim del poblenou,Barri,2011,
el besos i el maresme,Barri,2011,
provencals del poblenou,Barri,2011,
sant marti de provencals,Barri,2011,
la verneda i la pau,Barri,2011,
el raval,Barri,2012,
el barri gotic,Barri,2012,
la barceloneta,Barri,2012,
sant pere santa caterina i la ribera,Barri,2012,
el fort pienc,Barri,2012,
la sagrada familia,Barri,2012,
la dreta de leixample,Barri,2012,
lantiga esquerra de leixample,Barri,2012,
la nova esquerra de leixample,Barri,2012,
sant antoni,Barri,2012,
el poble sec,Barri,2012,
